gene,population,generation,mutated,mutator,strain
ybaL,A–1,500,FALSE,non-mutator,REL762C
topA,A–1,500,TRUE,non-mutator,REL762C
pykF,A–1,500,FALSE,non-mutator,REL762C
spoT,A–1,500,FALSE,non-mutator,REL762C
yijC (fabR),A–1,500,TRUE,non-mutator,REL762C
hslU,A–1,500,FALSE,non-mutator,REL762C
iclR,A–1,500,FALSE,non-mutator,REL762C
nadR,A–1,500,FALSE,non-mutator,REL762C
ybaL,A–1,500,FALSE,non-mutator,REL762B
topA,A–1,500,TRUE,non-mutator,REL762B
pykF,A–1,500,FALSE,non-mutator,REL762B
spoT,A–1,500,FALSE,non-mutator,REL762B
yijC (fabR),A–1,500,TRUE,non-mutator,REL762B
hslU,A–1,500,FALSE,non-mutator,REL762B
iclR,A–1,500,FALSE,non-mutator,REL762B
nadR,A–1,500,FALSE,non-mutator,REL762B
ybaL,A–1,1000,FALSE,non-mutator,REL964B
topA,A–1,1000,TRUE,non-mutator,REL964B
pykF,A–1,1000,FALSE,non-mutator,REL964B
spoT,A–1,1000,TRUE,non-mutator,REL964B
yijC (fabR),A–1,1000,FALSE,non-mutator,REL964B
hslU,A–1,1000,FALSE,non-mutator,REL964B
iclR,A–1,1000,FALSE,non-mutator,REL964B
nadR,A–1,1000,FALSE,non-mutator,REL964B
ybaL,A–1,1000,FALSE,non-mutator,REL964C
topA,A–1,1000,TRUE,non-mutator,REL964C
pykF,A–1,1000,TRUE,non-mutator,REL964C
spoT,A–1,1000,FALSE,non-mutator,REL964C
yijC (fabR),A–1,1000,TRUE,non-mutator,REL964C
hslU,A–1,1000,FALSE,non-mutator,REL964C
iclR,A–1,1000,FALSE,non-mutator,REL964C
nadR,A–1,1000,FALSE,non-mutator,REL964C
ybaL,A–1,1500,FALSE,non-mutator,REL1068B
topA,A–1,1500,TRUE,non-mutator,REL1068B
pykF,A–1,1500,TRUE,non-mutator,REL1068B
spoT,A–1,1500,TRUE,non-mutator,REL1068B
yijC (fabR),A–1,1500,FALSE,non-mutator,REL1068B
hslU,A–1,1500,FALSE,non-mutator,REL1068B
iclR,A–1,1500,FALSE,non-mutator,REL1068B
nadR,A–1,1500,FALSE,non-mutator,REL1068B
ybaL,A–1,1500,FALSE,non-mutator,REL1068C
topA,A–1,1500,TRUE,non-mutator,REL1068C
pykF,A–1,1500,TRUE,non-mutator,REL1068C
spoT,A–1,1500,TRUE,non-mutator,REL1068C
yijC (fabR),A–1,1500,FALSE,non-mutator,REL1068C
hslU,A–1,1500,FALSE,non-mutator,REL1068C
iclR,A–1,1500,FALSE,non-mutator,REL1068C
nadR,A–1,1500,FALSE,non-mutator,REL1068C
ybaL,A–1,2000,FALSE,non-mutator,REL1164A
topA,A–1,2000,TRUE,non-mutator,REL1164A
pykF,A–1,2000,TRUE,non-mutator,REL1164A
spoT,A–1,2000,TRUE,non-mutator,REL1164A
yijC (fabR),A–1,2000,FALSE,non-mutator,REL1164A
hslU,A–1,2000,FALSE,non-mutator,REL1164A
iclR,A–1,2000,FALSE,non-mutator,REL1164A
nadR,A–1,2000,FALSE,non-mutator,REL1164A
ybaL,A–1,2000,FALSE,non-mutator,REL1164B
topA,A–1,2000,TRUE,non-mutator,REL1164B
pykF,A–1,2000,TRUE,non-mutator,REL1164B
spoT,A–1,2000,TRUE,non-mutator,REL1164B
yijC (fabR),A–1,2000,FALSE,non-mutator,REL1164B
hslU,A–1,2000,FALSE,non-mutator,REL1164B
iclR,A–1,2000,FALSE,non-mutator,REL1164B
nadR,A–1,2000,FALSE,non-mutator,REL1164B
ybaL,A–1,5000,TRUE,non-mutator,REL2179A
topA,A–1,5000,TRUE,non-mutator,REL2179A
pykF,A–1,5000,TRUE,non-mutator,REL2179A
spoT,A–1,5000,TRUE,non-mutator,REL2179A
yijC (fabR),A–1,5000,FALSE,non-mutator,REL2179A
hslU,A–1,5000,TRUE,non-mutator,REL2179A
iclR,A–1,5000,FALSE,non-mutator,REL2179A
nadR,A–1,5000,TRUE,non-mutator,REL2179A
ybaL,A–1,5000,TRUE,non-mutator,REL2179B
topA,A–1,5000,TRUE,non-mutator,REL2179B
pykF,A–1,5000,TRUE,non-mutator,REL2179B
spoT,A–1,5000,TRUE,non-mutator,REL2179B
yijC (fabR),A–1,5000,FALSE,non-mutator,REL2179B
hslU,A–1,5000,TRUE,non-mutator,REL2179B
iclR,A–1,5000,FALSE,non-mutator,REL2179B
nadR,A–1,5000,FALSE,non-mutator,REL2179B
ybaL,A–1,10000,TRUE,non-mutator,REL4536A
topA,A–1,10000,TRUE,non-mutator,REL4536A
pykF,A–1,10000,TRUE,non-mutator,REL4536A
spoT,A–1,10000,TRUE,non-mutator,REL4536A
yijC (fabR),A–1,10000,FALSE,non-mutator,REL4536A
hslU,A–1,10000,TRUE,non-mutator,REL4536A
iclR,A–1,10000,FALSE,non-mutator,REL4536A
nadR,A–1,10000,FALSE,non-mutator,REL4536A
ybaL,A–1,10000,TRUE,non-mutator,REL4536B
topA,A–1,10000,TRUE,non-mutator,REL4536B
pykF,A–1,10000,TRUE,non-mutator,REL4536B
spoT,A–1,10000,TRUE,non-mutator,REL4536B
yijC (fabR),A–1,10000,FALSE,non-mutator,REL4536B
hslU,A–1,10000,TRUE,non-mutator,REL4536B
iclR,A–1,10000,FALSE,non-mutator,REL4536B
nadR,A–1,10000,FALSE,non-mutator,REL4536B
ybaL,A–1,15000,TRUE,non-mutator,REL7177A
topA,A–1,15000,TRUE,non-mutator,REL7177A
pykF,A–1,15000,TRUE,non-mutator,REL7177A
spoT,A–1,15000,TRUE,non-mutator,REL7177A
yijC (fabR),A–1,15000,FALSE,non-mutator,REL7177A
hslU,A–1,15000,TRUE,non-mutator,REL7177A
iclR,A–1,15000,TRUE,non-mutator,REL7177A
nadR,A–1,15000,TRUE,non-mutator,REL7177A
ybaL,A–1,15000,TRUE,non-mutator,REL7177B
topA,A–1,15000,TRUE,non-mutator,REL7177B
pykF,A–1,15000,TRUE,non-mutator,REL7177B
spoT,A–1,15000,TRUE,non-mutator,REL7177B
yijC (fabR),A–1,15000,FALSE,non-mutator,REL7177B
hslU,A–1,15000,TRUE,non-mutator,REL7177B
iclR,A–1,15000,TRUE,non-mutator,REL7177B
nadR,A–1,15000,TRUE,non-mutator,REL7177B
ybaL,A–1,20000,TRUE,non-mutator,REL8593A
topA,A–1,20000,TRUE,non-mutator,REL8593A
pykF,A–1,20000,TRUE,non-mutator,REL8593A
spoT,A–1,20000,TRUE,non-mutator,REL8593A
yijC (fabR),A–1,20000,FALSE,non-mutator,REL8593A
hslU,A–1,20000,TRUE,non-mutator,REL8593A
iclR,A–1,20000,TRUE,non-mutator,REL8593A
