,full_name,group,evidence,max_distance,resolved,check,
1,REL606_hslu.RA.2863.G._.0.gene_name.hslV.snp_type.indel,w1,RA,0.000234537,REL606_hslu.RA.2863.GC._.0.gene_name.hslV.snp_type.indel,0,
2,REL606_hslu.RA.2864.C._.0.gene_name.hslV.snp_type.indel,w1,RA,0.000234537,merged,0,
3,REL606_iclr.RA.1038.T.A.0.gene_name.arpA.snp_type.pseudogene,w2,RA,0,REL606_iclr.RA.1038.T.A.0.gene_name.arpA.snp_type.pseudogene,0,
4,REL606_iclr.RA.1039.A.T.0.gene_name.arpA.snp_type.pseudogene,w2,RA,0,REL606_iclr.RA.1038.T.A.0.gene_name.arpA.snp_type.pseudogene,0,
5,REL606.JC.664688.1.REL606_pykf.2313.1.REF.1,w3,JC,0.383819183,REL606.MOB.IS150.n1.REL606_pykf.2313.3.REF.1,0,
6,REL606.JC.590471.n1.REL606_pykf.2315.n1.REF.1,w3,JC,0.383819183,REL606.MOB.IS150.n1.REL606_pykf.2313.3.REF.1,0,
7,REL606.JC.588495.1.REL606_nadr.1540.1.REF.1,w4,JC,0.426454059,REL606.MOB.IS150.n1.REL606_nadr.1540.3.REF.1,0,
8,REL606.JC.590471.n1.REL606_nadr.1542.n1.REF.1,w4,JC,0.426454059,REL606.MOB.IS150.n1.REL606_nadr.1540.3.REF.1,0,
9,REL606.JC.588495.1.REL606_nadr.1544.1.REF.1,w4,JC,0.426454059,REL606.MOB.IS150.n1.REL606_nadr.1544.3.REF.1,0,
10,REL606.JC.666130.n1.REL606_nadr.1546.n1.REF.1,w4,JC,0.426454059,REL606.MOB.IS150.n1.REL606_nadr.1544.3.REF.1,0,
11,REL606.JC.430844.n1.REL606_nadr.1907.1.REF.1,w5,JC,0.481635426,REL606.MOB.IS186.n1.REL606_nadr.1907.6.REF.1,0,
12,REL606.JC.16728.n1.REL606_nadr.1912.n1.REF.1,w5,JC,0.481635426,REL606.MOB.IS186.n1.REL606_nadr.1907.6.REF.1,0,
13,REL606.JC.24058.n1.REL606_nadr.1982.n1.REF.1,NA,JC,NA,REL606.MOB.IS1.1.REL606_nadr.1982.0.REF.1,0,end of IS1; no other junctions nearby to join for IS insertion
